Date,Portfolio
2024-08-01,5000.0
2024-08-02,4795.478999999999
2024-08-05,4605.183
2024-08-06,4521.027
2024-08-07,4497.148999999999
2024-08-08,4634.421
2024-08-09,4648.075
2024-08-12,4516.951999999999
2024-08-13,4595.936
2024-08-14,4487.472
2024-08-15,4694.613
2024-08-16,4719.665
2024-08-19,4851.334
2024-08-20,4861.1669999999995
2024-08-21,4977.356
2024-08-22,4907.591
2024-08-23,5052.3150000000005
2024-08-26,5012.161
2024-08-27,5016.672
2024-08-28,4966.747
2024-08-29,5041.494
2024-08-30,5020.635
2024-09-03,4749.5
2024-09-04,4743.081
2024-09-05,4687.844
2024-09-06,4477.794
2024-09-09,4548.918
2024-09-10,4516.441
2024-09-11,4854.6810000000005
2024-09-12,4858.558
2024-09-13,4842.487999999999
2024-09-16,4886.22
2024-09-17,4907.941
2024-09-18,4818.773999999999
2024-09-19,4952.259
2024-09-20,4855.589
2024-09-23,4930.347
2024-09-24,5001.372
2024-09-25,4891.499
2024-09-26,5121.077
2024-09-27,5152.314
