Date,Portfolio
2024-08-01,10000.0
2024-08-02,9808.302
2024-08-05,9430.704
2024-08-06,9537.065999999999
2024-08-07,9442.224000000002
2024-08-08,9677.695
2024-08-09,9743.524000000001
2024-08-12,9844.385
2024-08-13,10032.531
2024-08-14,10064.261
2024-08-15,10334.662
2024-08-16,10433.576000000001
2024-08-19,10595.805
2024-08-20,10572.247
2024-08-21,10599.591
2024-08-22,10499.748
2024-08-23,10666.139
2024-08-26,10639.518
2024-08-27,10675.621
2024-08-28,10599.670999999998
2024-08-29,10488.921
2024-08-30,10582.294
2024-09-03,10196.557
2024-09-04,10129.574999999999
2024-09-05,10146.684
2024-09-06,9918.213
2024-09-09,10019.895
2024-09-10,9981.920999999998
2024-09-11,10208.418000000001
2024-09-12,10307.329000000002
2024-09-13,10342.070000000002
2024-09-16,10283.007
2024-09-17,10237.541
2024-09-18,10234.616
2024-09-19,10420.178999999998
2024-09-20,10431.226
2024-09-23,10441.757000000001
2024-09-24,10552.274
2024-09-25,10591.422999999999
2024-09-26,10574.952
2024-09-27,10548.933
